City,State,Year,Population,Date
Aguila,AZ,2021,519,7/7/2021
Aguila,AZ,2020,565,7/7/2020
Ajo,AZ,2021,2987,7/7/2021
Ajo,AZ,2020,3039,7/7/2020
Ak Chin,AZ,2021,54,7/7/2021
Ak Chin,AZ,2020,50,7/7/2020
Ak-Chin Village,AZ,2021,888,7/7/2021
Ak-Chin Village,AZ,2020,884,7/7/2020
Alamo Lake,AZ,2021,0,7/7/2021
Alamo Lake,AZ,2020,4,7/7/2020
Ali Chuk,AZ,2021,111,7/7/2021
Ali Chuk,AZ,2020,119,7/7/2020
Ali Chukson,AZ,2021,109,7/7/2021
Ali Chukson,AZ,2020,113,7/7/2020
Ali Molina,AZ,2021,59,7/7/2021
Ali Molina,AZ,2020,61,7/7/2020
Alpine,AZ,2021,146,7/7/2021
Alpine,AZ,2020,146,7/7/2020
Amado,AZ,2021,178,7/7/2021
Amado,AZ,2020,198,7/7/2020
Anegam,AZ,2021,149,7/7/2021
Anegam,AZ,2020,149,7/7/2020
Antares,AZ,2021,134,7/7/2021
Antares,AZ,2020,132,7/7/2020
Anthem,AZ,2021,23488,7/7/2021
Anthem,AZ,2020,23190,7/7/2020
Apache Junction,AZ,2021,39031,7/7/2021
Apache Junction,AZ,2020,38499,7/7/2020
Apache Junction,AZ,2019,42571,7/7/2019
Apache Junction,AZ,2018,41536,7/7/2018
Apache Junction,AZ,2017,40618,7/7/2017
Apache Junction,AZ,2016,39661,7/7/2016
Apache Junction,AZ,2015,38523,7/7/2015
Apache Junction,AZ,2014,37610,7/7/2014
Apache Junction,AZ,2013,36732,7/7/2013
Apache Junction,AZ,2012,36156,7/7/2012
Apache Junction,AZ,2011,35723,7/7/2011
Apache Junction,AZ,2010,35918,7/7/2010
Apache Junction,AZ,2009,34284,7/7/2009
Apache Junction,AZ,2008,33515,7/7/2008
Apache Junction,AZ,2007,32529,7/7/2007
Apache Junction,AZ,2006,31228,7/7/2006
Apache Junction,AZ,2005,32564,7/7/2005
Apache Junction,AZ,2004,33836,7/7/2004
Apache Junction,AZ,2003,34350,7/7/2003
Apache Junction,AZ,2002,33958,7/7/2002
Apache Junction,AZ,2001,32841,7/7/2001
Apache Junction,AZ,2000,32087,7/7/2000
Arivaca,AZ,2021,609,7/7/2021
Arivaca,AZ,2020,623,7/7/2020
Arivaca Junction,AZ,2021,946,7/7/2021
Arivaca Junction,AZ,2020,970,7/7/2020
Arizona City,AZ,2021,9746,7/7/2021
Arizona City,AZ,2020,9868,7/7/2020
Arizona Village,AZ,2021,1079,7/7/2021
Arizona Village,AZ,2020,1057,7/7/2020
Arlington,AZ,2021,142,7/7/2021
Arlington,AZ,2020,150,7/7/2020
Ash Fork,AZ,2021,353,7/7/2021
Ash Fork,AZ,2020,361,7/7/2020
Avenue B and C,AZ,2021,4085,7/7/2021
Avenue B and C,AZ,2020,4101,7/7/2020
Avondale,AZ,2021,91954,7/7/2021
Avondale,AZ,2020,89334,7/7/2020
Avondale,AZ,2019,87931,7/7/2019
Avondale,AZ,2018,85715,7/7/2018
Avondale,AZ,2017,84742,7/7/2017
Avondale,AZ,2016,83288,7/7/2016
Avondale,AZ,2015,81924,7/7/2015
Avondale,AZ,2014,80726,7/7/2014
Avondale,AZ,2013,79745,7/7/2013
Avondale,AZ,2012,78718,7/7/2012
Avondale,AZ,2011,77279,7/7/2011
Avondale,AZ,2010,76232,7/7/2010
Avondale,AZ,2009,85212,7/7/2009
Avondale,AZ,2008,81400,7/7/2008
Avondale,AZ,2007,79101,7/7/2007
Avondale,AZ,2006,75298,7/7/2006
Avondale,AZ,2005,69240,7/7/2005
Avondale,AZ,2004,61116,7/7/2004
Avondale,AZ,2003,56214,7/7/2003
Avondale,AZ,2002,49651,7/7/2002
Avondale,AZ,2001,42218,7/7/2001
Avondale,AZ,2000,37257,7/7/2000
Avra Valley,AZ,2021,5473,7/7/2021
Avra Valley,AZ,2020,5569,7/7/2020
Aztec,AZ,2021,-6,7/7/2021
Aztec,AZ,2020,2,7/7/2020
Bagdad,AZ,2021,1944,7/7/2021
Bagdad,AZ,2020,1932,7/7/2020
Bear Flat,AZ,2021,9,7/7/2021
Bear Flat,AZ,2020,11,7/7/2020
Beaver Dam,AZ,2021,1470,7/7/2021
Beaver Dam,AZ,2020,1552,7/7/2020
Beaver Valley,AZ,2021,226,7/7/2021
Beaver Valley,AZ,2020,226,7/7/2020
Benson,AZ,2021,5405,7/7/2021
Benson,AZ,2020,5355,7/7/2020
Benson,AZ,2019,4880,7/7/2019
Benson,AZ,2018,4859,7/7/2018
Benson,AZ,2017,4839,7/7/2017
Benson,AZ,2016,4863,7/7/2016
Benson,AZ,2015,4909,7/7/2015
Benson,AZ,2014,4951,7/7/2014
Benson,AZ,2013,5040,7/7/2013
Benson,AZ,2012,5132,7/7/2012
Benson,AZ,2011,5186,7/7/2011
Benson,AZ,2010,5126,7/7/2010
Benson,AZ,2009,5144,7/7/2009
Benson,AZ,2008,4969,7/7/2008
Benson,AZ,2007,4949,7/7/2007
Benson,AZ,2006,4848,7/7/2006
Benson,AZ,2005,4910,7/7/2005
Benson,AZ,2004,4882,7/7/2004
Benson,AZ,2003,4847,7/7/2003
Benson,AZ,2002,4709,7/7/2002
Benson,AZ,2001,4705,7/7/2001
Benson,AZ,2000,4730,7/7/2000
Beyerville,AZ,2021,52,7/7/2021
Beyerville,AZ,2020,72,7/7/2020
Bisbee,AZ,2021,4793,7/7/2021
Bisbee,AZ,2020,4923,7/7/2020
Bisbee,AZ,2019,5225,7/7/2019
Bisbee,AZ,2018,5196,7/7/2018
Bisbee,AZ,2017,5193,7/7/2017
Bisbee,AZ,2016,5221,7/7/2016
Bisbee,AZ,2015,5216,7/7/2015
Bisbee,AZ,2014,5316,7/7/2014
Bisbee,AZ,2013,5381,7/7/2013
Bisbee,AZ,2012,5530,7/7/2012
Bisbee,AZ,2011,5586,7/7/2011
Bisbee,AZ,2010,5611,7/7/2010
Bisbee,AZ,2009,5962,7/7/2009
Bisbee,AZ,2008,5950,7/7/2008
Bisbee,AZ,2007,5960,7/7/2007
Bisbee,AZ,2006,6028,7/7/2006
Bisbee,AZ,2005,6136,7/7/2005
Bisbee,AZ,2004,6141,7/7/2004
Bisbee,AZ,2003,6120,7/7/2003
Bisbee,AZ,2002,6143,7/7/2002
Bisbee,AZ,2001,6162,7/7/2001
Bisbee,AZ,2000,6231,7/7/2000
Bitter Springs,AZ,2021,335,7/7/2021
Bitter Springs,AZ,2020,355,7/7/2020
Black Canyon City,AZ,2021,2645,7/7/2021
Black Canyon City,AZ,2020,2677,7/7/2020
Blackwater,AZ,2021,1216,7/7/2021
Blackwater,AZ,2020,1190,7/7/2020
Bluewater,AZ,2021,674,7/7/2021
Bluewater,AZ,2020,682,7/7/2020
Bouse,AZ,2021,649,7/7/2021
Bouse,AZ,2020,707,7/7/2020
Bowie,AZ,2021,398,7/7/2021
Bowie,AZ,2020,406,7/7/2020
Brenda,AZ,2021,424,7/7/2021
Brenda,AZ,2020,466,7/7/2020
Bryce,AZ,2021,173,7/7/2021
Bryce,AZ,2020,173,7/7/2020
Buckeye,AZ,2021,101315,7/7/2021
Buckeye,AZ,2020,91154,7/7/2020
Buckeye,AZ,2019,79620,7/7/2019
Buckeye,AZ,2018,74339,7/7/2018
Buckeye,AZ,2017,68534,7/7/2017
Buckeye,AZ,2016,64641,7/7/2016
Buckeye,AZ,2015,61633,7/7/2015
Buckeye,AZ,2014,59100,7/7/2014
Buckeye,AZ,2013,56603,7/7/2013
Buckeye,AZ,2012,54389,7/7/2012
Buckeye,AZ,2011,52486,7/7/2011
Buckeye,AZ,2010,51350,7/7/2010
Buckeye,AZ,2009,51735,7/7/2009
Buckeye,AZ,2008,47602,7/7/2008
Buckeye,AZ,2007,37907,7/7/2007
Buckeye,AZ,2006,29880,7/7/2006
Buckeye,AZ,2005,21313,7/7/2005
Buckeye,AZ,2004,15294,7/7/2004
Buckeye,AZ,2003,14330,7/7/2003
Buckeye,AZ,2002,13375,7/7/2002
Buckeye,AZ,2001,11700,7/7/2001
Buckeye,AZ,2000,9757,7/7/2000
Buckshot,AZ,2021,54,7/7/2021
Buckshot,AZ,2020,70,7/7/2020
Bullhead City,AZ,2021,41710,7/7/2021
Bullhead City,AZ,2020,41348,7/7/2020
Bullhead City,AZ,2019,40884,7/7/2019
Bullhead City,AZ,2018,40369,7/7/2018
Bullhead City,AZ,2017,40233,7/7/2017
Bullhead City,AZ,2016,39970,7/7/2016
Bullhead City,AZ,2015,39796,7/7/2015
Bullhead City,AZ,2014,39580,7/7/2014
Bullhead City,AZ,2013,39568,7/7/2013
Bullhead City,AZ,2012,39645,7/7/2012
Bullhead City,AZ,2011,39710,7/7/2011
Bullhead City,AZ,2010,39549,7/7/2010
Bullhead City,AZ,2009,40747,7/7/2009
Bullhead City,AZ,2008,40896,7/7/2008
Bullhead City,AZ,2007,41001,7/7/2007
Bullhead City,AZ,2006,40012,7/7/2006
Bullhead City,AZ,2005,38779,7/7/2005
Bullhead City,AZ,2004,37316,7/7/2004
Bullhead City,AZ,2003,36195,7/7/2003
Bullhead City,AZ,2002,35380,7/7/2002
Bullhead City,AZ,2001,34549,7/7/2001
Bullhead City,AZ,2000,33967,7/7/2000
Burnside,AZ,2021,486,7/7/2021
Burnside,AZ,2020,494,7/7/2020
Bylas,AZ,2021,1746,7/7/2021
Bylas,AZ,2020,1782,7/7/2020
Cactus Flats,AZ,2021,1526,7/7/2021
Cactus Flats,AZ,2020,1524,7/7/2020
Cactus Forest,AZ,2021,608,7/7/2021
Cactus Forest,AZ,2020,606,7/7/2020
Cameron,AZ,2021,704,7/7/2021
Cameron,AZ,2020,734,7/7/2020
Camp Verde,AZ,2021,12401,7/7/2021
Camp Verde,AZ,2020,12147,7/7/2020
Camp Verde,AZ,2019,11187,7/7/2019
Camp Verde,AZ,2018,11234,7/7/2018
Camp Verde,AZ,2017,11210,7/7/2017
Camp Verde,AZ,2016,11194,7/7/2016
Camp Verde,AZ,2015,11122,7/7/2015
Camp Verde,AZ,2014,11056,7/7/2014
Camp Verde,AZ,2013,10985,7/7/2013
Camp Verde,AZ,2012,10898,7/7/2012
Camp Verde,AZ,2011,10907,7/7/2011
Camp Verde,AZ,2010,10873,7/7/2010
Camp Verde,AZ,2009,10871,7/7/2009
Camp Verde,AZ,2008,10892,7/7/2008
Camp Verde,AZ,2007,10829,7/7/2007
Camp Verde,AZ,2006,10596,7/7/2006
Camp Verde,AZ,2005,10148,7/7/2005
Camp Verde,AZ,2004,10014,7/7/2004
Camp Verde,AZ,2003,9869,7/7/2003
Camp Verde,AZ,2002,9728,7/7/2002
Camp Verde,AZ,2001,9596,7/7/2001
Camp Verde,AZ,2000,9486,7/7/2000
Campo Bonito,AZ,2021,85,7/7/2021
Campo Bonito,AZ,2020,83,7/7/2020
Cane Beds,AZ,2021,470,7/7/2021
Cane Beds,AZ,2020,466,7/7/2020
Canyon Day,AZ,2021,1205,7/7/2021
Canyon Day,AZ,2020,1205,7/7/2020
Carefree,AZ,2021,3756,7/7/2021
Carefree,AZ,2020,3690,7/7/2020
Carefree,AZ,2019,3927,7/7/2019
Carefree,AZ,2018,3868,7/7/2018
Carefree,AZ,2017,3805,7/7/2017
Carefree,AZ,2016,3758,7/7/2016
Carefree,AZ,2015,3684,7/7/2015
Carefree,AZ,2014,3590,7/7/2014
Carefree,AZ,2013,3538,7/7/2013
Carefree,AZ,2012,3481,7/7/2012
Carefree,AZ,2011,3417,7/7/2011
Carefree,AZ,2010,3369,7/7/2010
Carefree,AZ,2009,3888,7/7/2009
Carefree,AZ,2008,3865,7/7/2008
Carefree,AZ,2007,3839,7/7/2007
Carefree,AZ,2006,3792,7/7/2006
Carefree,AZ,2005,3708,7/7/2005
Carefree,AZ,2004,3481,7/7/2004
Carefree,AZ,2003,3346,7/7/2003
Carefree,AZ,2002,3182,7/7/2002
Carefree,AZ,2001,3087,7/7/2001
Carefree,AZ,2000,2960,7/7/2000
Carrizo,AZ,2021,84,7/7/2021
Carrizo,AZ,2020,92,7/7/2020
Casa Blanca,AZ,2021,1795,7/7/2021
Casa Blanca,AZ,2020,1727,7/7/2020
Casa Grande,AZ,2021,54676,7/7/2021
Casa Grande,AZ,2020,53658,7/7/2020
Casa Grande,AZ,2019,58632,7/7/2019
Casa Grande,AZ,2018,57019,7/7/2018
Casa Grande,AZ,2017,55695,7/7/2017
Casa Grande,AZ,2016,54247,7/7/2016
Casa Grande,AZ,2015,52687,7/7/2015
Casa Grande,AZ,2014,51362,7/7/2014
Casa Grande,AZ,2013,49777,7/7/2013
Casa Grande,AZ,2012,49453,7/7/2012
Casa Grande,AZ,2011,48904,7/7/2011
Casa Grande,AZ,2010,48955,7/7/2010
Casa Grande,AZ,2009,43878,7/7/2009
Casa Grande,AZ,2008,41995,7/7/2008
Casa Grande,AZ,2007,38891,7/7/2007
Casa Grande,AZ,2006,35003,7/7/2006
Casa Grande,AZ,2005,33538,7/7/2005
Casa Grande,AZ,2004,32323,7/7/2004
Casa Grande,AZ,2003,30857,7/7/2003
Casa Grande,AZ,2002,29608,7/7/2002
Casa Grande,AZ,2001,27835,7/7/2001
Casa Grande,AZ,2000,26939,7/7/2000
Casas Adobes,AZ,2021,71809,7/7/2021
Casas Adobes,AZ,2020,70973,7/7/2020
Catalina,AZ,2021,7547,7/7/2021
Catalina,AZ,2020,7551,7/7/2020
Catalina Foothills,AZ,2021,52721,7/7/2021
Catalina Foothills,AZ,2020,52401,7/7/2020
Cave Creek,AZ,2021,4868,7/7/2021
Cave Creek,AZ,2020,4892,7/7/2020
Cave Creek,AZ,2019,5838,7/7/2019
Cave Creek,AZ,2018,5738,7/7/2018
Cave Creek,AZ,2017,5661,7/7/2017
Cave Creek,AZ,2016,5581,7/7/2016
Cave Creek,AZ,2015,5495,7/7/2015
Cave Creek,AZ,2014,5353,7/7/2014
Cave Creek,AZ,2013,5178,7/7/2013
Cave Creek,AZ,2012,5017,7/7/2012
Cave Creek,AZ,2011,4898,7/7/2011
Cave Creek,AZ,2010,4816,7/7/2010
Cave Creek,AZ,2009,5505,7/7/2009
Cave Creek,AZ,2008,5443,7/7/2008
Cave Creek,AZ,2007,5083,7/7/2007
Cave Creek,AZ,2006,4954,7/7/2006
Cave Creek,AZ,2005,4758,7/7/2005
Cave Creek,AZ,2004,4439,7/7/2004
Cave Creek,AZ,2003,4188,7/7/2003
Cave Creek,AZ,2002,4048,7/7/2002
Cave Creek,AZ,2001,3942,7/7/2001
Cave Creek,AZ,2000,3770,7/7/2000
Cedar Creek,AZ,2021,382,7/7/2021
Cedar Creek,AZ,2020,372,7/7/2020
Centennial Park,AZ,2021,1640,7/7/2021
Centennial Park,AZ,2020,1578,7/7/2020
Central,AZ,2021,780,7/7/2021
Central,AZ,2020,758,7/7/2020
Central Heights-Midland City,AZ,2021,2275,7/7/2021
Central Heights-Midland City,AZ,2020,2319,7/7/2020
Chandler,AZ,2021,283959,7/7/2021
Chandler,AZ,2020,275987,7/7/2020
Chandler,AZ,2019,261165,7/7/2019
Chandler,AZ,2018,257186,7/7/2018
Chandler,AZ,2017,253599,7/7/2017
Chandler,AZ,2016,247845,7/7/2016
Chandler,AZ,2015,243679,7/7/2015
Chandler,AZ,2014,240888,7/7/2014
Chandler,AZ,2013,239888,7/7/2013
Chandler,AZ,2012,237660,7/7/2012
Chandler,AZ,2011,236834,7/7/2011
Chandler,AZ,2010,236454,7/7/2010
Chandler,AZ,2009,249535,7/7/2009
Chandler,AZ,2008,247214,7/7/2008
Chandler,AZ,2007,244013,7/7/2007
Chandler,AZ,2006,240096,7/7/2006
Chandler,AZ,2005,231698,7/7/2005
Chandler,AZ,2004,221170,7/7/2004
Chandler,AZ,2003,209691,7/7/2003
Chandler,AZ,2002,200378,7/7/2002
Chandler,AZ,2001,190696,7/7/2001
Chandler,AZ,2000,179577,7/7/2000
Charco,AZ,2021,23,7/7/2021
Charco,AZ,2020,27,7/7/2020
Chiawuli Tak,AZ,2021,42,7/7/2021
Chiawuli Tak,AZ,2020,48,7/7/2020
Chilchinbito,AZ,2021,821,7/7/2021
Chilchinbito,AZ,2020,769,7/7/2020
Chinle,AZ,2021,4585,7/7/2021
Chinle,AZ,2020,4573,7/7/2020
Chino Valley,AZ,2021,13460,7/7/2021
Chino Valley,AZ,2020,13020,7/7/2020
Chino Valley,AZ,2019,12375,7/7/2019
Chino Valley,AZ,2018,11991,7/7/2018
Chino Valley,AZ,2017,11703,7/7/2017
Chino Valley,AZ,2016,11203,7/7/2016
Chino Valley,AZ,2015,11047,7/7/2015
Chino Valley,AZ,2014,10972,7/7/2014
Chino Valley,AZ,2013,10880,7/7/2013
Chino Valley,AZ,2012,10808,7/7/2012
Chino Valley,AZ,2011,10796,7/7/2011
Chino Valley,AZ,2010,10810,7/7/2010
Chino Valley,AZ,2009,11182,7/7/2009
Chino Valley,AZ,2008,11136,7/7/2008
Chino Valley,AZ,2007,10916,7/7/2007
Chino Valley,AZ,2006,10551,7/7/2006
Chino Valley,AZ,2005,9774,7/7/2005
Chino Valley,AZ,2004,9189,7/7/2004
Chino Valley,AZ,2003,8778,7/7/2003
Chino Valley,AZ,2002,8561,7/7/2002
Chino Valley,AZ,2001,8401,7/7/2001
Chino Valley,AZ,2000,8255,7/7/2000
Chloride,AZ,2021,221,7/7/2021
Chloride,AZ,2020,229,7/7/2020
Christopher Creek,AZ,2021,113,7/7/2021
Christopher Creek,AZ,2020,121,7/7/2020
Chuichu,AZ,2021,234,7/7/2021
Chuichu,AZ,2020,240,7/7/2020
Cibecue,AZ,2021,1836,7/7/2021
Cibecue,AZ,2020,1816,7/7/2020
Cibola,AZ,2021,188,7/7/2021
Cibola,AZ,2020,198,7/7/2020
Cienega Springs,AZ,2021,1668,7/7/2021
Cienega Springs,AZ,2020,1690,7/7/2020
Citrus Park,AZ,2021,5428,7/7/2021
Citrus Park,AZ,2020,5194,7/7/2020
Clacks Canyon,AZ,2021,165,7/7/2021
Clacks Canyon,AZ,2020,167,7/7/2020
Clarkdale,AZ,2021,4490,7/7/2021
Clarkdale,AZ,2020,4424,7/7/2020
Clarkdale,AZ,2019,4391,7/7/2019
Clarkdale,AZ,2018,4340,7/7/2018
Clarkdale,AZ,2017,4282,7/7/2017
Clarkdale,AZ,2016,4203,7/7/2016
Clarkdale,AZ,2015,4141,7/7/2015
Clarkdale,AZ,2014,4090,7/7/2014
Clarkdale,AZ,2013,4048,7/7/2013
Clarkdale,AZ,2012,4024,7/7/2012
Clarkdale,AZ,2011,4021,7/7/2011
Clarkdale,AZ,2010,4035,7/7/2010
Clarkdale,AZ,2009,4252,7/7/2009
Clarkdale,AZ,2008,4251,7/7/2008
Clarkdale,AZ,2007,4177,7/7/2007
Clarkdale,AZ,2006,3822,7/7/2006
Clarkdale,AZ,2005,3742,7/7/2005
Clarkdale,AZ,2004,3688,7/7/2004
Clarkdale,AZ,2003,3658,7/7/2003
Clarkdale,AZ,2002,3546,7/7/2002
Clarkdale,AZ,2001,3468,7/7/2001
Clarkdale,AZ,2000,3400,7/7/2000
Clay Springs,AZ,2021,317,7/7/2021
Clay Springs,AZ,2020,331,7/7/2020
Claypool,AZ,2021,1367,7/7/2021
Claypool,AZ,2020,1395,7/7/2020
Clifton,AZ,2021,4057,7/7/2021
Clifton,AZ,2020,3933,7/7/2020
Clifton,AZ,2019,3708,7/7/2019
Clifton,AZ,2018,3684,7/7/2018
Clifton,AZ,2017,3673,7/7/2017
Clifton,AZ,2016,3743,7/7/2016
Clifton,AZ,2015,3700,7/7/2015
Clifton,AZ,2014,3621,7/7/2014
Clifton,AZ,2013,3463,7/7/2013
Clifton,AZ,2012,3414,7/7/2012
Clifton,AZ,2011,3350,7/7/2011
Clifton,AZ,2010,3269,7/7/2010
Clifton,AZ,2009,2569,7/7/2009
Clifton,AZ,2008,2454,7/7/2008
Clifton,AZ,2007,2316,7/7/2007
Clifton,AZ,2006,2232,7/7/2006
Clifton,AZ,2005,2190,7/7/2005
Clifton,AZ,2004,2198,7/7/2004
Clifton,AZ,2003,2224,7/7/2003
Clifton,AZ,2002,2326,7/7/2002
Clifton,AZ,2001,2503,7/7/2001
Clifton,AZ,2000,2592,7/7/2000
Colorado City,AZ,2021,2010,7/7/2021
Colorado City,AZ,2020,2478,7/7/2020
Colorado City,AZ,2019,4836,7/7/2019
Colorado City,AZ,2018,4851,7/7/2018
Colorado City,AZ,2017,4834,7/7/2017
Colorado City,AZ,2016,4823,7/7/2016
Colorado City,AZ,2015,4818,7/7/2015
Colorado City,AZ,2014,4785,7/7/2014
Colorado City,AZ,2013,4801,7/7/2013
Colorado City,AZ,2012,4824,7/7/2012
Colorado City,AZ,2011,4829,7/7/2011
Colorado City,AZ,2010,4820,7/7/2010
Colorado City,AZ,2009,4668,7/7/2009
Colorado City,AZ,2008,4707,7/7/2008
Colorado City,AZ,2007,4765,7/7/2007
Colorado City,AZ,2006,4548,7/7/2006
Colorado City,AZ,2005,4307,7/7/2005
Colorado City,AZ,2004,4100,7/7/2004
Colorado City,AZ,2003,3881,7/7/2003
Colorado City,AZ,2002,3699,7/7/2002
Colorado City,AZ,2001,3535,7/7/2001
Colorado City,AZ,2000,3379,7/7/2000
Comobabi,AZ,2021,52,7/7/2021
Comobabi,AZ,2020,44,7/7/2020
Concho,AZ,2021,58,7/7/2021
Concho,AZ,2020,54,7/7/2020
Congress,AZ,2021,1779,7/7/2021
Congress,AZ,2020,1811,7/7/2020
Coolidge,AZ,2021,13496,7/7/2021
Coolidge,AZ,2020,13218,7/7/2020
Coolidge,AZ,2019,13130,7/7/2019
Coolidge,AZ,2018,12927,7/7/2018
Coolidge,AZ,2017,12695,7/7/2017
Coolidge,AZ,2016,12468,7/7/2016
Coolidge,AZ,2015,12197,7/7/2015
Coolidge,AZ,2014,12007,7/7/2014
Coolidge,AZ,2013,11843,7/7/2013
Coolidge,AZ,2012,11818,7/7/2012
Coolidge,AZ,2011,11793,7/7/2011
Coolidge,AZ,2010,11882,7/7/2010
Coolidge,AZ,2009,11079,7/7/2009
Coolidge,AZ,2008,10607,7/7/2008
Coolidge,AZ,2007,9899,7/7/2007
Coolidge,AZ,2006,8300,7/7/2006
Coolidge,AZ,2005,8573,7/7/2005
Coolidge,AZ,2004,8777,7/7/2004
Coolidge,AZ,2003,8909,7/7/2003
Coolidge,AZ,2002,8871,7/7/2002
Coolidge,AZ,2001,8756,7/7/2001
Coolidge,AZ,2000,8515,7/7/2000
Copper Hill,AZ,2021,168,7/7/2021
Copper Hill,AZ,2020,158,7/7/2020
Cordes Lakes,AZ,2021,2694,7/7/2021
Cordes Lakes,AZ,2020,2684,7/7/2020
Cornfields,AZ,2021,215,7/7/2021
Cornfields,AZ,2020,221,7/7/2020
Cornville,AZ,2021,3378,7/7/2021
Cornville,AZ,2020,3362,7/7/2020
Corona de Tucson,AZ,2021,9952,7/7/2021
Corona de Tucson,AZ,2020,9240,7/7/2020
Cottonwood,AZ,2021,12181,7/7/2021
Cottonwood,AZ,2020,12029,7/7/2020
Cottonwood,AZ,2019,12253,7/7/2019
Cottonwood,AZ,2018,12161,7/7/2018
Cottonwood,AZ,2017,11988,7/7/2017
Cottonwood,AZ,2016,11849,7/7/2016
Cottonwood,AZ,2015,11567,7/7/2015
Cottonwood,AZ,2014,11422,7/7/2014
Cottonwood,AZ,2013,11251,7/7/2013
Cottonwood,AZ,2012,11149,7/7/2012
Cottonwood,AZ,2011,11131,7/7/2011
Cottonwood,AZ,2010,11166,7/7/2010
Cottonwood,AZ,2009,11361,7/7/2009
Cottonwood,AZ,2008,11385,7/7/2008
Cottonwood,AZ,2007,11260,7/7/2007
Cottonwood,AZ,2006,11110,7/7/2006
Cottonwood,AZ,2005,10846,7/7/2005
Cottonwood,AZ,2004,10376,7/7/2004
Cottonwood,AZ,2003,10191,7/7/2003
Cottonwood,AZ,2002,10097,7/7/2002
Cottonwood,AZ,2001,9790,7/7/2001
Cottonwood,AZ,2000,9385,7/7/2000
Cowlic,AZ,2021,99,7/7/2021
Cowlic,AZ,2020,105,7/7/2020
Crozier,AZ,2021,23,7/7/2021
Crozier,AZ,2020,21,7/7/2020
Crystal Beach,AZ,2021,244,7/7/2021
Crystal Beach,AZ,2020,250,7/7/2020
Cutter,AZ,2021,86,7/7/2021
Cutter,AZ,2020,84,7/7/2020
Dateland,AZ,2021,225,7/7/2021
Dateland,AZ,2020,257,7/7/2020
Deer Creek,AZ,2021,232,7/7/2021
Deer Creek,AZ,2020,230,7/7/2020
Del Muerto,AZ,2021,244,7/7/2021
Del Muerto,AZ,2020,258,7/7/2020
Dennehotso,AZ,2021,555,7/7/2021
Dennehotso,AZ,2020,587,7/7/2020
Desert Hills,AZ,2021,2868,7/7/2021
Desert Hills,AZ,2020,2764,7/7/2020
Dewey-Humboldt,AZ,2021,4412,7/7/2021
Dewey-Humboldt,AZ,2020,4326,7/7/2020
Dewey-Humboldt,AZ,2019,4137,7/7/2019
Dewey-Humboldt,AZ,2018,4104,7/7/2018
Dewey-Humboldt,AZ,2017,4065,7/7/2017
Dewey-Humboldt,AZ,2016,4034,7/7/2016
Dewey-Humboldt,AZ,2015,3978,7/7/2015
Dewey-Humboldt,AZ,2014,3957,7/7/2014
Dewey-Humboldt,AZ,2013,3923,7/7/2013
Dewey-Humboldt,AZ,2012,3899,7/7/2012
Dewey-Humboldt,AZ,2011,3886,7/7/2011
Dewey-Humboldt,AZ,2010,3897,7/7/2010
Dewey-Humboldt,AZ,2009,3809,7/7/2009
Dewey-Humboldt,AZ,2008,3827,7/7/2008
Dewey-Humboldt,AZ,2007,3769,7/7/2007
Dewey-Humboldt,AZ,2006,3677,7/7/2006
Dewey-Humboldt,AZ,2005,3580,7/7/2005
Dewey-Humboldt,AZ,2004,3549,7/7/2004
Dewey-Humboldt,AZ,2003,3482,7/7/2003
Dewey-Humboldt,AZ,2002,3481,7/7/2002
Dewey-Humboldt,AZ,2001,3450,7/7/2001
Dewey-Humboldt,AZ,2000,3431,7/7/2000
Dilkon,AZ,2021,1196,7/7/2021
Dilkon,AZ,2020,1194,7/7/2020
Dolan Springs,AZ,2021,1674,7/7/2021
Dolan Springs,AZ,2020,1734,7/7/2020
Doney Park,AZ,2021,6014,7/7/2021
Doney Park,AZ,2020,5910,7/7/2020
Donovan Estates,AZ,2021,1253,7/7/2021
Donovan Estates,AZ,2020,1295,7/7/2020
Douglas,AZ,2021,16366,7/7/2021
Douglas,AZ,2020,16534,7/7/2020
Douglas,AZ,2019,16193,7/7/2019
Douglas,AZ,2018,15932,7/7/2018
Douglas,AZ,2017,16181,7/7/2017
Douglas,AZ,2016,16600,7/7/2016
Douglas,AZ,2015,16592,7/7/2015
Douglas,AZ,2014,16774,7/7/2014
Douglas,AZ,2013,16836,7/7/2013
Douglas,AZ,2012,16988,7/7/2012
Douglas,AZ,2011,17576,7/7/2011
Douglas,AZ,2010,17609,7/7/2010
Douglas,AZ,2009,17451,7/7/2009
Douglas,AZ,2008,17384,7/7/2008
Douglas,AZ,2007,17232,7/7/2007
Douglas,AZ,2006,17045,7/7/2006
Douglas,AZ,2005,16869,7/7/2005
Douglas,AZ,2004,16493,7/7/2004
Douglas,AZ,2003,16454,7/7/2003
Douglas,AZ,2002,16443,7/7/2002
Douglas,AZ,2001,16407,7/7/2001
Douglas,AZ,2000,16592,7/7/2000
Dragoon,AZ,2021,172,7/7/2021
Dragoon,AZ,2020,178,7/7/2020
Drexel Heights,AZ,2021,27477,7/7/2021
Drexel Heights,AZ,2020,27523,7/7/2020
Dripping Springs,AZ,2021,124,7/7/2021
Dripping Springs,AZ,2020,142,7/7/2020
Drysdale,AZ,2021,215,7/7/2021
Drysdale,AZ,2020,225,7/7/2020
